age,monthtaken,gender,headlength,headwidth,neckcircum,length,chest,weight
19,July,male,11,5.5,16,53,26,80
55,July,male,16.5,9,28,67.5,45,344
81,September,male,15.5,8,31,72,54,416
115,July,male,17,10,31.5,72,49,348
104,August,female,15.5,6.5,22,62,35,166
100,April,female,13,7,21,70,41,220
56,July,male,15,7.5,26.5,73.5,41,262
51,April,male,13.5,8,27,68.5,49,360
57,September,female,13.5,7,20,64,38,204
53,May,female,12.5,6,18,58,31,144
68,August,male,16,9,29,73,44,332
8,August,male,9,4.5,13,37,19,34
44,August,female,12.5,4.5,10.5,63,32,140
32,August,male,14,5,21.5,67,37,180
20,August,female,11.5,5,17.5,52,29,105
32,August,male,13,8,21.5,59,33,166
45,September,male,13.5,7,24,64,39,204
9,September,female,9,4.5,12,36,19,26
21,September,male,13,6,19,59,30,120
177,September,male,16,9.5,30,72,48,436
57,September,female,12.5,5,19,57.5,32,125
81,September,female,13,5,20,61,33,132
21,September,male,13,5,17,54,28,90
9,September,male,10,4,13,40,23,40
45,September,male,16,6,24,63,42,220
9,September,male,10,4,13.5,43,23,46
33,September,male,13.5,6,22,66.5,34,154
57,September,female,13,5.5,17.5,60.5,31,116
45,September,female,13,6.5,21,60,34.5,182
21,September,male,14.5,5.5,20,61,34,150
10,October,male,9.5,4.5,16,40,26,65
82,October,female,13.5,6.5,28,64,48,356
70,October,female,14.5,6.5,26,65,48,316
10,October,male,11,5,17,49,29,94
10,October,male,11.5,5,17,47,29.5,86
34,October,male,13,7,21,59,35,150
34,October,male,16.5,6.5,27,72,44.5,270
34,October,male,14,5.5,24,65,39,202
58,October,female,13.5,6.5,21.5,63,40,202
58,October,male,15.5,7,28,70.5,50,365
11,November,male,11.5,6,16.5,48,31,79
23,November,male,12,6.5,19,50,38,148
70,October,male,15.5,7,28,76.5,55,446
11,November,female,9,5,15,46,27,62
83,November,female,14.5,7,23,61.5,44,236
35,November,male,13.5,8.5,23,63.5,44,212
16,April,male,10,4,15.5,48,26,60
16,April,male,10,5,15,41,26,64
17,May,male,11.5,5,17,53,30.5,114
17,May,female,11.5,5,15,52.5,28,76
17,May,female,11,4.5,13,46,23,48
8,August,female,10,4.5,10,43.5,24,29
83,November,male,15.5,8,30.5,75,54,514
18,June,male,12.5,8.5,18,57.3,32.8,140
